value,real
"tf.Tensor([5.820167], shape=(1,), dtype=float32)",5
"tf.Tensor([13.781082], shape=(1,), dtype=float32)",9
"tf.Tensor([14.969719], shape=(1,), dtype=float32)",7
"tf.Tensor([15.636037], shape=(1,), dtype=float32)",10
"tf.Tensor([10.50382], shape=(1,), dtype=float32)",6
"tf.Tensor([8.880249], shape=(1,), dtype=float32)",10
"tf.Tensor([7.144183], shape=(1,), dtype=float32)",11
"tf.Tensor([9.628918], shape=(1,), dtype=float32)",6
"tf.Tensor([6.4403763], shape=(1,), dtype=float32)",8
"tf.Tensor([10.693422], shape=(1,), dtype=float32)",11
"tf.Tensor([6.1163116], shape=(1,), dtype=float32)",9
"tf.Tensor([7.624571], shape=(1,), dtype=float32)",13
"tf.Tensor([6.4318657], shape=(1,), dtype=float32)",11
"tf.Tensor([7.361095], shape=(1,), dtype=float32)",15
"tf.Tensor([7.5565295], shape=(1,), dtype=float32)",11
"tf.Tensor([9.526543], shape=(1,), dtype=float32)",14
"tf.Tensor([15.389699], shape=(1,), dtype=float32)",11
"tf.Tensor([12.685046], shape=(1,), dtype=float32)",15
"tf.Tensor([10.653], shape=(1,), dtype=float32)",13
"tf.Tensor([18.01234], shape=(1,), dtype=float32)",17
"tf.Tensor([18.493832], shape=(1,), dtype=float32)",16
"tf.Tensor([21.53158], shape=(1,), dtype=float32)",14
"tf.Tensor([20.370972], shape=(1,), dtype=float32)",15
"tf.Tensor([26.833796], shape=(1,), dtype=float32)",13
"tf.Tensor([22.39017], shape=(1,), dtype=float32)",13
"tf.Tensor([12.817249], shape=(1,), dtype=float32)",16
"tf.Tensor([19.523426], shape=(1,), dtype=float32)",16
"tf.Tensor([19.82144], shape=(1,), dtype=float32)",15
"tf.Tensor([17.224388], shape=(1,), dtype=float32)",17
"tf.Tensor([18.182169], shape=(1,), dtype=float32)",17
"tf.Tensor([20.989529], shape=(1,), dtype=float32)",19
"tf.Tensor([21.511444], shape=(1,), dtype=float32)",19
"tf.Tensor([21.293655], shape=(1,), dtype=float32)",22
"tf.Tensor([17.479195], shape=(1,), dtype=float32)",20
"tf.Tensor([25.500898], shape=(1,), dtype=float32)",25
"tf.Tensor([22.468796], shape=(1,), dtype=float32)",21
"tf.Tensor([24.149286], shape=(1,), dtype=float32)",24
"tf.Tensor([25.103361], shape=(1,), dtype=float32)",22
"tf.Tensor([22.955732], shape=(1,), dtype=float32)",28
"tf.Tensor([24.010618], shape=(1,), dtype=float32)",22
"tf.Tensor([34.843506], shape=(1,), dtype=float32)",30
"tf.Tensor([26.528309], shape=(1,), dtype=float32)",25
"tf.Tensor([26.163748], shape=(1,), dtype=float32)",30
"tf.Tensor([26.80513], shape=(1,), dtype=float32)",24
"tf.Tensor([29.826094], shape=(1,), dtype=float32)",32
"tf.Tensor([27.672937], shape=(1,), dtype=float32)",25
"tf.Tensor([27.256132], shape=(1,), dtype=float32)",25
"tf.Tensor([43.35868], shape=(1,), dtype=float32)",34
"tf.Tensor([32.58844], shape=(1,), dtype=float32)",25
"tf.Tensor([43.920887], shape=(1,), dtype=float32)",36
"tf.Tensor([29.108667], shape=(1,), dtype=float32)",27
"tf.Tensor([44.456722], shape=(1,), dtype=float32)",40
"tf.Tensor([33.075596], shape=(1,), dtype=float32)",28
"tf.Tensor([32.567665], shape=(1,), dtype=float32)",42
"tf.Tensor([30.270391], shape=(1,), dtype=float32)",46
"tf.Tensor([29.816685], shape=(1,), dtype=float32)",29
"tf.Tensor([40.652824], shape=(1,), dtype=float32)",47
"tf.Tensor([29.402027], shape=(1,), dtype=float32)",29
"tf.Tensor([40.065796], shape=(1,), dtype=float32)",51
"tf.Tensor([32.553833], shape=(1,), dtype=float32)",29
"tf.Tensor([42.79463], shape=(1,), dtype=float32)",31
"tf.Tensor([58.088512], shape=(1,), dtype=float32)",55
"tf.Tensor([44.341095], shape=(1,), dtype=float32)",58
"tf.Tensor([46.530815], shape=(1,), dtype=float32)",32
"tf.Tensor([44.9619], shape=(1,), dtype=float32)",34
"tf.Tensor([61.56167], shape=(1,), dtype=float32)",59
"tf.Tensor([43.206383], shape=(1,), dtype=float32)",34
"tf.Tensor([62.354618], shape=(1,), dtype=float32)",61
"tf.Tensor([45.864815], shape=(1,), dtype=float32)",35
"tf.Tensor([55.245464], shape=(1,), dtype=float32)",65
"tf.Tensor([52.88786], shape=(1,), dtype=float32)",68
"tf.Tensor([39.65109], shape=(1,), dtype=float32)",35
"tf.Tensor([48.027367], shape=(1,), dtype=float32)",38
"tf.Tensor([71.939026], shape=(1,), dtype=float32)",71
"tf.Tensor([49.05935], shape=(1,), dtype=float32)",40
"tf.Tensor([73.45546], shape=(1,), dtype=float32)",76
"tf.Tensor([64.00446], shape=(1,), dtype=float32)",76
"tf.Tensor([45.36067], shape=(1,), dtype=float32)",38
"tf.Tensor([69.54362], shape=(1,), dtype=float32)",79
"tf.Tensor([49.4085], shape=(1,), dtype=float32)",40
"tf.Tensor([69.66293], shape=(1,), dtype=float32)",80
"tf.Tensor([57.26139], shape=(1,), dtype=float32)",44
"tf.Tensor([85.90329], shape=(1,), dtype=float32)",85
"tf.Tensor([51.63916], shape=(1,), dtype=float32)",46
"tf.Tensor([83.14917], shape=(1,), dtype=float32)",83
"tf.Tensor([50.093452], shape=(1,), dtype=float32)",44
"tf.Tensor([65.09514], shape=(1,), dtype=float32)",43
"tf.Tensor([79.57501], shape=(1,), dtype=float32)",78
"tf.Tensor([76.99638], shape=(1,), dtype=float32)",79
"tf.Tensor([46.48796], shape=(1,), dtype=float32)",45
"tf.Tensor([47.91548], shape=(1,), dtype=float32)",41
"tf.Tensor([75.01068], shape=(1,), dtype=float32)",75
"tf.Tensor([70.73053], shape=(1,), dtype=float32)",73
"tf.Tensor([52.57189], shape=(1,), dtype=float32)",43
"tf.Tensor([67.93616], shape=(1,), dtype=float32)",73
"tf.Tensor([46.923794], shape=(1,), dtype=float32)",42
"tf.Tensor([69.111374], shape=(1,), dtype=float32)",67
"tf.Tensor([49.42312], shape=(1,), dtype=float32)",43
"tf.Tensor([65.518814], shape=(1,), dtype=float32)",44
"tf.Tensor([74.71419], shape=(1,), dtype=float32)",71
"tf.Tensor([73.15505], shape=(1,), dtype=float32)",70
"tf.Tensor([53.131676], shape=(1,), dtype=float32)",45
"tf.Tensor([66.59526], shape=(1,), dtype=float32)",71
"tf.Tensor([47.26656], shape=(1,), dtype=float32)",44
"tf.Tensor([73.08482], shape=(1,), dtype=float32)",74
"tf.Tensor([48.614273], shape=(1,), dtype=float32)",47
"tf.Tensor([72.02347], shape=(1,), dtype=float32)",47
"tf.Tensor([76.841354], shape=(1,), dtype=float32)",72
"tf.Tensor([65.58171], shape=(1,), dtype=float32)",47
"tf.Tensor([81.33841], shape=(1,), dtype=float32)",79
"tf.Tensor([72.07543], shape=(1,), dtype=float32)",76
"tf.Tensor([49.983246], shape=(1,), dtype=float32)",46
"tf.Tensor([71.81717], shape=(1,), dtype=float32)",75
"tf.Tensor([43.94492], shape=(1,), dtype=float32)",45
"tf.Tensor([73.55188], shape=(1,), dtype=float32)",79
"tf.Tensor([50.054573], shape=(1,), dtype=float32)",48
"tf.Tensor([72.96207], shape=(1,), dtype=float32)",48
"tf.Tensor([76.30138], shape=(1,), dtype=float32)",75
"tf.Tensor([65.76518], shape=(1,), dtype=float32)",74
