value
"tf.Tensor([6.5845037], shape=(1,), dtype=float32)"
"tf.Tensor([8.418875], shape=(1,), dtype=float32)"
"tf.Tensor([12.067053], shape=(1,), dtype=float32)"
"tf.Tensor([11.124347], shape=(1,), dtype=float32)"
"tf.Tensor([16.80449], shape=(1,), dtype=float32)"
"tf.Tensor([7.44507], shape=(1,), dtype=float32)"
"tf.Tensor([4.0678678], shape=(1,), dtype=float32)"
"tf.Tensor([5.691254], shape=(1,), dtype=float32)"
"tf.Tensor([6.408525], shape=(1,), dtype=float32)"
"tf.Tensor([4.5232015], shape=(1,), dtype=float32)"
"tf.Tensor([1.0272002], shape=(1,), dtype=float32)"
"tf.Tensor([4.9169416], shape=(1,), dtype=float32)"
"tf.Tensor([2.774017], shape=(1,), dtype=float32)"
"tf.Tensor([4.788504], shape=(1,), dtype=float32)"
"tf.Tensor([6.8628106], shape=(1,), dtype=float32)"
"tf.Tensor([7.5339665], shape=(1,), dtype=float32)"
"tf.Tensor([9.738851], shape=(1,), dtype=float32)"
"tf.Tensor([9.461632], shape=(1,), dtype=float32)"
"tf.Tensor([8.328062], shape=(1,), dtype=float32)"
"tf.Tensor([14.527945], shape=(1,), dtype=float32)"
"tf.Tensor([11.621129], shape=(1,), dtype=float32)"
"tf.Tensor([15.883099], shape=(1,), dtype=float32)"
"tf.Tensor([15.370156], shape=(1,), dtype=float32)"
"tf.Tensor([15.771835], shape=(1,), dtype=float32)"
"tf.Tensor([16.213688], shape=(1,), dtype=float32)"
"tf.Tensor([17.1161], shape=(1,), dtype=float32)"
"tf.Tensor([12.500287], shape=(1,), dtype=float32)"
"tf.Tensor([14.700057], shape=(1,), dtype=float32)"
"tf.Tensor([13.247549], shape=(1,), dtype=float32)"
"tf.Tensor([14.923315], shape=(1,), dtype=float32)"
"tf.Tensor([14.933717], shape=(1,), dtype=float32)"
"tf.Tensor([16.235044], shape=(1,), dtype=float32)"
"tf.Tensor([20.13905], shape=(1,), dtype=float32)"
"tf.Tensor([15.530507], shape=(1,), dtype=float32)"
"tf.Tensor([17.214466], shape=(1,), dtype=float32)"
"tf.Tensor([19.54605], shape=(1,), dtype=float32)"
"tf.Tensor([24.433208], shape=(1,), dtype=float32)"
"tf.Tensor([21.260035], shape=(1,), dtype=float32)"
"tf.Tensor([19.959175], shape=(1,), dtype=float32)"
"tf.Tensor([24.235899], shape=(1,), dtype=float32)"
"tf.Tensor([19.509516], shape=(1,), dtype=float32)"
"tf.Tensor([22.446354], shape=(1,), dtype=float32)"
"tf.Tensor([22.18123], shape=(1,), dtype=float32)"
