value
"tf.Tensor([9.722675], shape=(1,), dtype=float32)"
"tf.Tensor([6.85588], shape=(1,), dtype=float32)"
"tf.Tensor([10.586921], shape=(1,), dtype=float32)"
"tf.Tensor([9.978322], shape=(1,), dtype=float32)"
"tf.Tensor([14.220944], shape=(1,), dtype=float32)"
"tf.Tensor([8.671284], shape=(1,), dtype=float32)"
"tf.Tensor([4.3769083], shape=(1,), dtype=float32)"
"tf.Tensor([2.8019414], shape=(1,), dtype=float32)"
"tf.Tensor([6.928065], shape=(1,), dtype=float32)"
"tf.Tensor([6.8077326], shape=(1,), dtype=float32)"
"tf.Tensor([5.420866], shape=(1,), dtype=float32)"
"tf.Tensor([6.451557], shape=(1,), dtype=float32)"
"tf.Tensor([5.583913], shape=(1,), dtype=float32)"
"tf.Tensor([6.5859303], shape=(1,), dtype=float32)"
"tf.Tensor([5.9787793], shape=(1,), dtype=float32)"
"tf.Tensor([7.114745], shape=(1,), dtype=float32)"
"tf.Tensor([12.591668], shape=(1,), dtype=float32)"
"tf.Tensor([13.488921], shape=(1,), dtype=float32)"
"tf.Tensor([15.127684], shape=(1,), dtype=float32)"
"tf.Tensor([18.086538], shape=(1,), dtype=float32)"
"tf.Tensor([17.575087], shape=(1,), dtype=float32)"
"tf.Tensor([26.29764], shape=(1,), dtype=float32)"
"tf.Tensor([19.246035], shape=(1,), dtype=float32)"
"tf.Tensor([24.426651], shape=(1,), dtype=float32)"
"tf.Tensor([13.325269], shape=(1,), dtype=float32)"
"tf.Tensor([14.2644], shape=(1,), dtype=float32)"
"tf.Tensor([17.87762], shape=(1,), dtype=float32)"
"tf.Tensor([23.915213], shape=(1,), dtype=float32)"
"tf.Tensor([14.944118], shape=(1,), dtype=float32)"
"tf.Tensor([15.941772], shape=(1,), dtype=float32)"
"tf.Tensor([10.617527], shape=(1,), dtype=float32)"
"tf.Tensor([21.330227], shape=(1,), dtype=float32)"
"tf.Tensor([27.181396], shape=(1,), dtype=float32)"
"tf.Tensor([16.418497], shape=(1,), dtype=float32)"
"tf.Tensor([17.526953], shape=(1,), dtype=float32)"
"tf.Tensor([20.972927], shape=(1,), dtype=float32)"
"tf.Tensor([21.379473], shape=(1,), dtype=float32)"
"tf.Tensor([21.644596], shape=(1,), dtype=float32)"
"tf.Tensor([22.031425], shape=(1,), dtype=float32)"
"tf.Tensor([25.071924], shape=(1,), dtype=float32)"
"tf.Tensor([22.630724], shape=(1,), dtype=float32)"
"tf.Tensor([25.91451], shape=(1,), dtype=float32)"
"tf.Tensor([24.227404], shape=(1,), dtype=float32)"
"tf.Tensor([25.55473], shape=(1,), dtype=float32)"
"tf.Tensor([25.032114], shape=(1,), dtype=float32)"
"tf.Tensor([28.67027], shape=(1,), dtype=float32)"
"tf.Tensor([24.320654], shape=(1,), dtype=float32)"
"tf.Tensor([38.25295], shape=(1,), dtype=float32)"
"tf.Tensor([25.295908], shape=(1,), dtype=float32)"
"tf.Tensor([39.377438], shape=(1,), dtype=float32)"
"tf.Tensor([24.07046], shape=(1,), dtype=float32)"
"tf.Tensor([38.354855], shape=(1,), dtype=float32)"
"tf.Tensor([24.631784], shape=(1,), dtype=float32)"
"tf.Tensor([38.13177], shape=(1,), dtype=float32)"
"tf.Tensor([23.990067], shape=(1,), dtype=float32)"
"tf.Tensor([27.219595], shape=(1,), dtype=float32)"
