value,real
"tf.Tensor([3.5446453], shape=(1,), dtype=float32)",4
"tf.Tensor([5.94426], shape=(1,), dtype=float32)",5
"tf.Tensor([7.8472013], shape=(1,), dtype=float32)",10
"tf.Tensor([5.334417], shape=(1,), dtype=float32)",5
"tf.Tensor([6.952854], shape=(1,), dtype=float32)",10
"tf.Tensor([5.6261477], shape=(1,), dtype=float32)",5
"tf.Tensor([7.204457], shape=(1,), dtype=float32)",9
"tf.Tensor([8.701719], shape=(1,), dtype=float32)",7
"tf.Tensor([9.895119], shape=(1,), dtype=float32)",10
"tf.Tensor([5.551281], shape=(1,), dtype=float32)",6
"tf.Tensor([6.549324], shape=(1,), dtype=float32)",10
"tf.Tensor([3.809658], shape=(1,), dtype=float32)",11
"tf.Tensor([3.2947268], shape=(1,), dtype=float32)",6
"tf.Tensor([4.8539324], shape=(1,), dtype=float32)",8
"tf.Tensor([6.282512], shape=(1,), dtype=float32)",11
"tf.Tensor([3.5642102], shape=(1,), dtype=float32)",9
"tf.Tensor([4.698644], shape=(1,), dtype=float32)",13
"tf.Tensor([3.457599], shape=(1,), dtype=float32)",11
"tf.Tensor([5.0681896], shape=(1,), dtype=float32)",15
"tf.Tensor([4.801168], shape=(1,), dtype=float32)",11
"tf.Tensor([7.037992], shape=(1,), dtype=float32)",14
"tf.Tensor([4.5696173], shape=(1,), dtype=float32)",11
"tf.Tensor([7.2536855], shape=(1,), dtype=float32)",15
"tf.Tensor([5.571346], shape=(1,), dtype=float32)",13
"tf.Tensor([7.8262053], shape=(1,), dtype=float32)",17
"tf.Tensor([6.190269], shape=(1,), dtype=float32)",16
"tf.Tensor([6.235398], shape=(1,), dtype=float32)",14
"tf.Tensor([9.907288], shape=(1,), dtype=float32)",15
"tf.Tensor([7.712438], shape=(1,), dtype=float32)",13
"tf.Tensor([11.155672], shape=(1,), dtype=float32)",13
"tf.Tensor([13.466608], shape=(1,), dtype=float32)",16
"tf.Tensor([10.30994], shape=(1,), dtype=float32)",16
"tf.Tensor([9.802902], shape=(1,), dtype=float32)",15
"tf.Tensor([13.318197], shape=(1,), dtype=float32)",17
"tf.Tensor([15.254487], shape=(1,), dtype=float32)",17
"tf.Tensor([10.027058], shape=(1,), dtype=float32)",19
"tf.Tensor([12.307852], shape=(1,), dtype=float32)",19
"tf.Tensor([12.169899], shape=(1,), dtype=float32)",22
"tf.Tensor([11.356567], shape=(1,), dtype=float32)",20
"tf.Tensor([13.304586], shape=(1,), dtype=float32)",25
"tf.Tensor([16.952612], shape=(1,), dtype=float32)",21
"tf.Tensor([14.917281], shape=(1,), dtype=float32)",24
"tf.Tensor([14.430899], shape=(1,), dtype=float32)",22
"tf.Tensor([13.802616], shape=(1,), dtype=float32)",28
"tf.Tensor([15.346139], shape=(1,), dtype=float32)",22
"tf.Tensor([12.683918], shape=(1,), dtype=float32)",30
"tf.Tensor([13.91098], shape=(1,), dtype=float32)",25
"tf.Tensor([14.708097], shape=(1,), dtype=float32)",30
"tf.Tensor([14.748304], shape=(1,), dtype=float32)",24
"tf.Tensor([16.093403], shape=(1,), dtype=float32)",32
"tf.Tensor([17.299702], shape=(1,), dtype=float32)",25
"tf.Tensor([18.689903], shape=(1,), dtype=float32)",25
"tf.Tensor([27.051718], shape=(1,), dtype=float32)",34
"tf.Tensor([21.549665], shape=(1,), dtype=float32)",25
"tf.Tensor([27.736015], shape=(1,), dtype=float32)",36
"tf.Tensor([23.821568], shape=(1,), dtype=float32)",27
"tf.Tensor([31.622156], shape=(1,), dtype=float32)",40
"tf.Tensor([24.89188], shape=(1,), dtype=float32)",28
"tf.Tensor([30.897491], shape=(1,), dtype=float32)",42
"tf.Tensor([27.09044], shape=(1,), dtype=float32)",46
"tf.Tensor([29.306767], shape=(1,), dtype=float32)",29
"tf.Tensor([33.369373], shape=(1,), dtype=float32)",47
"tf.Tensor([26.188402], shape=(1,), dtype=float32)",29
"tf.Tensor([36.588997], shape=(1,), dtype=float32)",51
"tf.Tensor([29.222103], shape=(1,), dtype=float32)",29
"tf.Tensor([40.732906], shape=(1,), dtype=float32)",31
"tf.Tensor([51.974518], shape=(1,), dtype=float32)",55
"tf.Tensor([42.023254], shape=(1,), dtype=float32)",58
"tf.Tensor([34.979843], shape=(1,), dtype=float32)",32
"tf.Tensor([38.89499], shape=(1,), dtype=float32)",34
"tf.Tensor([57.799072], shape=(1,), dtype=float32)",59
"tf.Tensor([38.518204], shape=(1,), dtype=float32)",34
"tf.Tensor([52.564316], shape=(1,), dtype=float32)",61
"tf.Tensor([38.395203], shape=(1,), dtype=float32)",35
"tf.Tensor([53.962975], shape=(1,), dtype=float32)",65
"tf.Tensor([44.33696], shape=(1,), dtype=float32)",68
"tf.Tensor([37.193382], shape=(1,), dtype=float32)",35
"tf.Tensor([43.385994], shape=(1,), dtype=float32)",38
"tf.Tensor([66.98172], shape=(1,), dtype=float32)",71
"tf.Tensor([47.345898], shape=(1,), dtype=float32)",40
"tf.Tensor([56.31917], shape=(1,), dtype=float32)",76
"tf.Tensor([49.21088], shape=(1,), dtype=float32)",76
"tf.Tensor([41.379208], shape=(1,), dtype=float32)",38
"tf.Tensor([59.786427], shape=(1,), dtype=float32)",79
"tf.Tensor([46.083023], shape=(1,), dtype=float32)",40
"tf.Tensor([58.91607], shape=(1,), dtype=float32)",80
"tf.Tensor([52.835274], shape=(1,), dtype=float32)",44
"tf.Tensor([64.62942], shape=(1,), dtype=float32)",85
"tf.Tensor([50.011505], shape=(1,), dtype=float32)",46
"tf.Tensor([64.036194], shape=(1,), dtype=float32)",83
"tf.Tensor([49.963734], shape=(1,), dtype=float32)",44
"tf.Tensor([64.47307], shape=(1,), dtype=float32)",43
"tf.Tensor([77.90121], shape=(1,), dtype=float32)",78
"tf.Tensor([67.20718], shape=(1,), dtype=float32)",79
"tf.Tensor([52.319557], shape=(1,), dtype=float32)",45
"tf.Tensor([61.718353], shape=(1,), dtype=float32)",41
"tf.Tensor([77.97111], shape=(1,), dtype=float32)",75
"tf.Tensor([66.06012], shape=(1,), dtype=float32)",73
"tf.Tensor([49.781116], shape=(1,), dtype=float32)",43
"tf.Tensor([61.791492], shape=(1,), dtype=float32)",73
"tf.Tensor([48.364376], shape=(1,), dtype=float32)",42
"tf.Tensor([65.028206], shape=(1,), dtype=float32)",67
"tf.Tensor([49.303753], shape=(1,), dtype=float32)",43
"tf.Tensor([63.037464], shape=(1,), dtype=float32)",44
