value,real
"tf.Tensor([8.699217], shape=(1,), dtype=float32)",4
"tf.Tensor([7.8402967], shape=(1,), dtype=float32)",6
"tf.Tensor([7.377906], shape=(1,), dtype=float32)",3
"tf.Tensor([7.0502443], shape=(1,), dtype=float32)",4
"tf.Tensor([7.039761], shape=(1,), dtype=float32)",6
"tf.Tensor([5.1726546], shape=(1,), dtype=float32)",3
"tf.Tensor([6.661221], shape=(1,), dtype=float32)",6
"tf.Tensor([6.0322285], shape=(1,), dtype=float32)",7
"tf.Tensor([5.724704], shape=(1,), dtype=float32)",3
"tf.Tensor([8.024812], shape=(1,), dtype=float32)",3
"tf.Tensor([10.854758], shape=(1,), dtype=float32)",6
"tf.Tensor([10.18168], shape=(1,), dtype=float32)",6
"tf.Tensor([10.095007], shape=(1,), dtype=float32)",3
"tf.Tensor([12.867881], shape=(1,), dtype=float32)",6
"tf.Tensor([9.348184], shape=(1,), dtype=float32)",3
"tf.Tensor([8.647484], shape=(1,), dtype=float32)",3
"tf.Tensor([11.194991], shape=(1,), dtype=float32)",6
"tf.Tensor([8.279109], shape=(1,), dtype=float32)",2
"tf.Tensor([8.300181], shape=(1,), dtype=float32)",5
"tf.Tensor([5.5720186], shape=(1,), dtype=float32)",2
"tf.Tensor([6.567951], shape=(1,), dtype=float32)",6
"tf.Tensor([6.102369], shape=(1,), dtype=float32)",5
"tf.Tensor([3.8908768], shape=(1,), dtype=float32)",3
"tf.Tensor([7.266203], shape=(1,), dtype=float32)",5
"tf.Tensor([8.520585], shape=(1,), dtype=float32)",2
"tf.Tensor([8.244206], shape=(1,), dtype=float32)",2
"tf.Tensor([9.596172], shape=(1,), dtype=float32)",5
"tf.Tensor([8.732688], shape=(1,), dtype=float32)",4
"tf.Tensor([7.836214], shape=(1,), dtype=float32)",2
"tf.Tensor([7.275585], shape=(1,), dtype=float32)",2
"tf.Tensor([7.5322924], shape=(1,), dtype=float32)",5
"tf.Tensor([5.72172], shape=(1,), dtype=float32)",2
"tf.Tensor([7.405582], shape=(1,), dtype=float32)",5
"tf.Tensor([6.0732365], shape=(1,), dtype=float32)",2
"tf.Tensor([6.3229585], shape=(1,), dtype=float32)",5
"tf.Tensor([5.943524], shape=(1,), dtype=float32)",2
"tf.Tensor([8.128515], shape=(1,), dtype=float32)",5
"tf.Tensor([5.018734], shape=(1,), dtype=float32)",5
"tf.Tensor([7.3244376], shape=(1,), dtype=float32)",2
"tf.Tensor([7.6624637], shape=(1,), dtype=float32)",6
"tf.Tensor([5.0413837], shape=(1,), dtype=float32)",2
"tf.Tensor([7.0826645], shape=(1,), dtype=float32)",2
"tf.Tensor([9.347495], shape=(1,), dtype=float32)",4
"tf.Tensor([5.0136886], shape=(1,), dtype=float32)",2
"tf.Tensor([10.912493], shape=(1,), dtype=float32)",6
"tf.Tensor([7.790483], shape=(1,), dtype=float32)",5
"tf.Tensor([9.157732], shape=(1,), dtype=float32)",2
"tf.Tensor([11.003581], shape=(1,), dtype=float32)",5
"tf.Tensor([8.540713], shape=(1,), dtype=float32)",2
"tf.Tensor([8.171277], shape=(1,), dtype=float32)",2
"tf.Tensor([9.062041], shape=(1,), dtype=float32)",7
"tf.Tensor([7.8821497], shape=(1,), dtype=float32)",3
"tf.Tensor([8.927238], shape=(1,), dtype=float32)",6
"tf.Tensor([5.449303], shape=(1,), dtype=float32)",3
"tf.Tensor([9.089391], shape=(1,), dtype=float32)",6
"tf.Tensor([6.690134], shape=(1,), dtype=float32)",3
"tf.Tensor([11.880656], shape=(1,), dtype=float32)",6
"tf.Tensor([12.847333], shape=(1,), dtype=float32)",7
"tf.Tensor([6.295555], shape=(1,), dtype=float32)",2
"tf.Tensor([12.419854], shape=(1,), dtype=float32)",6
"tf.Tensor([6.9168534], shape=(1,), dtype=float32)",3
"tf.Tensor([11.954844], shape=(1,), dtype=float32)",2
"tf.Tensor([10.692861], shape=(1,), dtype=float32)",7
"tf.Tensor([8.711764], shape=(1,), dtype=float32)",8
"tf.Tensor([6.3504763], shape=(1,), dtype=float32)",3
"tf.Tensor([8.154836], shape=(1,), dtype=float32)",8
"tf.Tensor([3.8922224], shape=(1,), dtype=float32)",3
"tf.Tensor([7.6616955], shape=(1,), dtype=float32)",6
"tf.Tensor([5.192201], shape=(1,), dtype=float32)",3
"tf.Tensor([9.5717325], shape=(1,), dtype=float32)",7
"tf.Tensor([7.248159], shape=(1,), dtype=float32)",3
"tf.Tensor([8.254764], shape=(1,), dtype=float32)",7
"tf.Tensor([15.15897], shape=(1,), dtype=float32)",3
"tf.Tensor([11.04452], shape=(1,), dtype=float32)",3
"tf.Tensor([10.851133], shape=(1,), dtype=float32)",6
"tf.Tensor([9.642537], shape=(1,), dtype=float32)",4
"tf.Tensor([13.845211], shape=(1,), dtype=float32)",7
"tf.Tensor([19.60253], shape=(1,), dtype=float32)",3
"tf.Tensor([16.279083], shape=(1,), dtype=float32)",7
"tf.Tensor([19.017942], shape=(1,), dtype=float32)",4
"tf.Tensor([13.86678], shape=(1,), dtype=float32)",9
"tf.Tensor([11.678668], shape=(1,), dtype=float32)",5
"tf.Tensor([8.436404], shape=(1,), dtype=float32)",9
"tf.Tensor([5.7325397], shape=(1,), dtype=float32)",9
"tf.Tensor([4.3254914], shape=(1,), dtype=float32)",4
"tf.Tensor([9.05255], shape=(1,), dtype=float32)",5
"tf.Tensor([8.391465], shape=(1,), dtype=float32)",10
"tf.Tensor([4.983203], shape=(1,), dtype=float32)",5
"tf.Tensor([11.034515], shape=(1,), dtype=float32)",10
"tf.Tensor([15.380237], shape=(1,), dtype=float32)",5
"tf.Tensor([17.279928], shape=(1,), dtype=float32)",9
"tf.Tensor([8.626503], shape=(1,), dtype=float32)",7
"tf.Tensor([6.8703628], shape=(1,), dtype=float32)",10
"tf.Tensor([5.167097], shape=(1,), dtype=float32)",6
"tf.Tensor([6.5675707], shape=(1,), dtype=float32)",10
"tf.Tensor([3.6808863], shape=(1,), dtype=float32)",11
"tf.Tensor([3.799542], shape=(1,), dtype=float32)",6
"tf.Tensor([5.5972958], shape=(1,), dtype=float32)",8
"tf.Tensor([7.2865076], shape=(1,), dtype=float32)",11
"tf.Tensor([3.7319317], shape=(1,), dtype=float32)",9
"tf.Tensor([8.446602], shape=(1,), dtype=float32)",13
"tf.Tensor([7.730198], shape=(1,), dtype=float32)",11
"tf.Tensor([11.442882], shape=(1,), dtype=float32)",15
"tf.Tensor([6.5094852], shape=(1,), dtype=float32)",11
"tf.Tensor([13.740388], shape=(1,), dtype=float32)",14
"tf.Tensor([18.154842], shape=(1,), dtype=float32)",11
"tf.Tensor([18.318392], shape=(1,), dtype=float32)",15
"tf.Tensor([19.86118], shape=(1,), dtype=float32)",13
"tf.Tensor([17.864712], shape=(1,), dtype=float32)",17
"tf.Tensor([20.94925], shape=(1,), dtype=float32)",16
"tf.Tensor([21.00901], shape=(1,), dtype=float32)",14
"tf.Tensor([15.367396], shape=(1,), dtype=float32)",15
"tf.Tensor([19.033728], shape=(1,), dtype=float32)",13
"tf.Tensor([18.812824], shape=(1,), dtype=float32)",13
"tf.Tensor([17.344173], shape=(1,), dtype=float32)",16
"tf.Tensor([18.332754], shape=(1,), dtype=float32)",16
"tf.Tensor([17.457417], shape=(1,), dtype=float32)",15
"tf.Tensor([15.817474], shape=(1,), dtype=float32)",17
"tf.Tensor([16.531057], shape=(1,), dtype=float32)",17
"tf.Tensor([25.686834], shape=(1,), dtype=float32)",19
"tf.Tensor([26.820704], shape=(1,), dtype=float32)",19
"tf.Tensor([21.542381], shape=(1,), dtype=float32)",22
"tf.Tensor([21.206133], shape=(1,), dtype=float32)",20
"tf.Tensor([23.779156], shape=(1,), dtype=float32)",25
"tf.Tensor([22.36283], shape=(1,), dtype=float32)",21
"tf.Tensor([32.896507], shape=(1,), dtype=float32)",24
"tf.Tensor([23.579803], shape=(1,), dtype=float32)",22
"tf.Tensor([33.54571], shape=(1,), dtype=float32)",28
"tf.Tensor([24.874542], shape=(1,), dtype=float32)",22
"tf.Tensor([31.501274], shape=(1,), dtype=float32)",30
"tf.Tensor([23.195185], shape=(1,), dtype=float32)",25
"tf.Tensor([36.500813], shape=(1,), dtype=float32)",30
"tf.Tensor([24.524857], shape=(1,), dtype=float32)",24
"tf.Tensor([38.52144], shape=(1,), dtype=float32)",32
"tf.Tensor([28.164871], shape=(1,), dtype=float32)",25
"tf.Tensor([33.928226], shape=(1,), dtype=float32)",25
"tf.Tensor([50.92517], shape=(1,), dtype=float32)",34
"tf.Tensor([35.273884], shape=(1,), dtype=float32)",25
"tf.Tensor([45.623333], shape=(1,), dtype=float32)",36
"tf.Tensor([34.201336], shape=(1,), dtype=float32)",27
"tf.Tensor([44.013325], shape=(1,), dtype=float32)",40
"tf.Tensor([34.711987], shape=(1,), dtype=float32)",28
"tf.Tensor([41.2962], shape=(1,), dtype=float32)",42
"tf.Tensor([33.89681], shape=(1,), dtype=float32)",46
"tf.Tensor([30.707016], shape=(1,), dtype=float32)",29
"tf.Tensor([47.889618], shape=(1,), dtype=float32)",47
"tf.Tensor([34.254757], shape=(1,), dtype=float32)",29
"tf.Tensor([48.12723], shape=(1,), dtype=float32)",51
"tf.Tensor([36.07433], shape=(1,), dtype=float32)",29
"tf.Tensor([53.68576], shape=(1,), dtype=float32)",31
"tf.Tensor([67.04318], shape=(1,), dtype=float32)",55
"tf.Tensor([44.98209], shape=(1,), dtype=float32)",58
"tf.Tensor([40.44343], shape=(1,), dtype=float32)",32
"tf.Tensor([55.308617], shape=(1,), dtype=float32)",34
"tf.Tensor([68.13044], shape=(1,), dtype=float32)",59
"tf.Tensor([42.45714], shape=(1,), dtype=float32)",34
"tf.Tensor([64.35679], shape=(1,), dtype=float32)",61
"tf.Tensor([37.459297], shape=(1,), dtype=float32)",35
"tf.Tensor([65.00413], shape=(1,), dtype=float32)",65
"tf.Tensor([47.554695], shape=(1,), dtype=float32)",68
"tf.Tensor([39.41476], shape=(1,), dtype=float32)",35
"tf.Tensor([51.557102], shape=(1,), dtype=float32)",38
"tf.Tensor([68.39222], shape=(1,), dtype=float32)",71
"tf.Tensor([47.978977], shape=(1,), dtype=float32)",40
"tf.Tensor([72.35197], shape=(1,), dtype=float32)",76
"tf.Tensor([50.316677], shape=(1,), dtype=float32)",76
"tf.Tensor([45.054386], shape=(1,), dtype=float32)",38
"tf.Tensor([68.30042], shape=(1,), dtype=float32)",79
"tf.Tensor([55.219795], shape=(1,), dtype=float32)",40
"tf.Tensor([79.461555], shape=(1,), dtype=float32)",80
"tf.Tensor([60.220108], shape=(1,), dtype=float32)",44
"tf.Tensor([77.383705], shape=(1,), dtype=float32)",85
"tf.Tensor([56.34769], shape=(1,), dtype=float32)",46
"tf.Tensor([77.853165], shape=(1,), dtype=float32)",83
"tf.Tensor([50.184963], shape=(1,), dtype=float32)",44
"tf.Tensor([63.19509], shape=(1,), dtype=float32)",43
"tf.Tensor([73.51265], shape=(1,), dtype=float32)",78
"tf.Tensor([56.706844], shape=(1,), dtype=float32)",79
"tf.Tensor([42.850742], shape=(1,), dtype=float32)",45
"tf.Tensor([53.195858], shape=(1,), dtype=float32)",41
"tf.Tensor([83.97805], shape=(1,), dtype=float32)",75
"tf.Tensor([65.50573], shape=(1,), dtype=float32)",73
"tf.Tensor([50.55235], shape=(1,), dtype=float32)",43
"tf.Tensor([62.471916], shape=(1,), dtype=float32)",73
"tf.Tensor([55.45154], shape=(1,), dtype=float32)",42
"tf.Tensor([71.460594], shape=(1,), dtype=float32)",67
"tf.Tensor([49.008457], shape=(1,), dtype=float32)",43
"tf.Tensor([64.89634], shape=(1,), dtype=float32)",44
"tf.Tensor([77.275856], shape=(1,), dtype=float32)",71
"tf.Tensor([63.4938], shape=(1,), dtype=float32)",70
"tf.Tensor([50.94476], shape=(1,), dtype=float32)",45
"tf.Tensor([61.25836], shape=(1,), dtype=float32)",71
"tf.Tensor([49.693104], shape=(1,), dtype=float32)",44
"tf.Tensor([66.793205], shape=(1,), dtype=float32)",74
"tf.Tensor([50.24439], shape=(1,), dtype=float32)",47
"tf.Tensor([67.09621], shape=(1,), dtype=float32)",47
"tf.Tensor([86.0522], shape=(1,), dtype=float32)",72
"tf.Tensor([65.88108], shape=(1,), dtype=float32)",47
"tf.Tensor([77.63269], shape=(1,), dtype=float32)",79
"tf.Tensor([52.405087], shape=(1,), dtype=float32)",76
"tf.Tensor([52.36346], shape=(1,), dtype=float32)",46
"tf.Tensor([67.35996], shape=(1,), dtype=float32)",75
"tf.Tensor([48.5559], shape=(1,), dtype=float32)",45
"tf.Tensor([72.47609], shape=(1,), dtype=float32)",79
"tf.Tensor([52.89714], shape=(1,), dtype=float32)",48
"tf.Tensor([67.22989], shape=(1,), dtype=float32)",48
"tf.Tensor([78.80384], shape=(1,), dtype=float32)",75
"tf.Tensor([66.26954], shape=(1,), dtype=float32)",74
"tf.Tensor([56.615456], shape=(1,), dtype=float32)",50
"tf.Tensor([67.26838], shape=(1,), dtype=float32)",75
"tf.Tensor([56.6303], shape=(1,), dtype=float32)",47
"tf.Tensor([81.75229], shape=(1,), dtype=float32)",76
"tf.Tensor([54.342686], shape=(1,), dtype=float32)",48
"tf.Tensor([73.15092], shape=(1,), dtype=float32)",76
"tf.Tensor([53.89381], shape=(1,), dtype=float32)",48
"tf.Tensor([73.91978], shape=(1,), dtype=float32)",75
"tf.Tensor([55.608173], shape=(1,), dtype=float32)",49
"tf.Tensor([66.02257], shape=(1,), dtype=float32)",48
"tf.Tensor([83.22324], shape=(1,), dtype=float32)",78
"tf.Tensor([69.50677], shape=(1,), dtype=float32)",79
"tf.Tensor([63.3793], shape=(1,), dtype=float32)",50
"tf.Tensor([61.869713], shape=(1,), dtype=float32)",50
"tf.Tensor([74.815544], shape=(1,), dtype=float32)",83
"tf.Tensor([61.733067], shape=(1,), dtype=float32)",51
"tf.Tensor([73.77331], shape=(1,), dtype=float32)",81
"tf.Tensor([53.24561], shape=(1,), dtype=float32)",49
"tf.Tensor([83.37792], shape=(1,), dtype=float32)",81
"tf.Tensor([59.59589], shape=(1,), dtype=float32)",50
"tf.Tensor([78.34402], shape=(1,), dtype=float32)",81
"tf.Tensor([58.901077], shape=(1,), dtype=float32)",50
"tf.Tensor([82.07877], shape=(1,), dtype=float32)",77
"tf.Tensor([68.79261], shape=(1,), dtype=float32)",51
"tf.Tensor([73.27029], shape=(1,), dtype=float32)",80
"tf.Tensor([73.09429], shape=(1,), dtype=float32)",80
"tf.Tensor([50.446133], shape=(1,), dtype=float32)",52
"tf.Tensor([62.52852], shape=(1,), dtype=float32)",51
"tf.Tensor([81.25335], shape=(1,), dtype=float32)",78
"tf.Tensor([67.91464], shape=(1,), dtype=float32)",50
"tf.Tensor([82.65728], shape=(1,), dtype=float32)",80
"tf.Tensor([75.27685], shape=(1,), dtype=float32)",83
"tf.Tensor([49.299892], shape=(1,), dtype=float32)",51
"tf.Tensor([68.5129], shape=(1,), dtype=float32)",83
"tf.Tensor([64.93177], shape=(1,), dtype=float32)",52
"tf.Tensor([75.06907], shape=(1,), dtype=float32)",84
"tf.Tensor([60.721874], shape=(1,), dtype=float32)",52
"tf.Tensor([70.941505], shape=(1,), dtype=float32)",52
"tf.Tensor([82.98468], shape=(1,), dtype=float32)",82
"tf.Tensor([82.00555], shape=(1,), dtype=float32)",84
"tf.Tensor([54.918087], shape=(1,), dtype=float32)",53
