value
"tf.Tensor([9.059974], shape=(1,), dtype=float32)"
"tf.Tensor([6.6330194], shape=(1,), dtype=float32)"
"tf.Tensor([8.746422], shape=(1,), dtype=float32)"
"tf.Tensor([7.0136576], shape=(1,), dtype=float32)"
"tf.Tensor([12.095017], shape=(1,), dtype=float32)"
"tf.Tensor([8.679437], shape=(1,), dtype=float32)"
"tf.Tensor([10.679347], shape=(1,), dtype=float32)"
"tf.Tensor([8.426967], shape=(1,), dtype=float32)"
"tf.Tensor([7.2627664], shape=(1,), dtype=float32)"
"tf.Tensor([9.102846], shape=(1,), dtype=float32)"
"tf.Tensor([11.087696], shape=(1,), dtype=float32)"
"tf.Tensor([10.250901], shape=(1,), dtype=float32)"
"tf.Tensor([12.781504], shape=(1,), dtype=float32)"
"tf.Tensor([10.096463], shape=(1,), dtype=float32)"
"tf.Tensor([13.099245], shape=(1,), dtype=float32)"
"tf.Tensor([12.072543], shape=(1,), dtype=float32)"
"tf.Tensor([15.023766], shape=(1,), dtype=float32)"
"tf.Tensor([10.945884], shape=(1,), dtype=float32)"
"tf.Tensor([15.161792], shape=(1,), dtype=float32)"
"tf.Tensor([12.973264], shape=(1,), dtype=float32)"
"tf.Tensor([16.282433], shape=(1,), dtype=float32)"
"tf.Tensor([15.6210985], shape=(1,), dtype=float32)"
"tf.Tensor([15.425319], shape=(1,), dtype=float32)"
"tf.Tensor([15.274714], shape=(1,), dtype=float32)"
"tf.Tensor([15.118136], shape=(1,), dtype=float32)"
"tf.Tensor([15.028617], shape=(1,), dtype=float32)"
"tf.Tensor([16.560427], shape=(1,), dtype=float32)"
"tf.Tensor([15.487707], shape=(1,), dtype=float32)"
"tf.Tensor([15.803994], shape=(1,), dtype=float32)"
"tf.Tensor([17.028185], shape=(1,), dtype=float32)"
"tf.Tensor([17.058414], shape=(1,), dtype=float32)"
"tf.Tensor([18.881847], shape=(1,), dtype=float32)"
"tf.Tensor([20.09814], shape=(1,), dtype=float32)"
"tf.Tensor([21.36674], shape=(1,), dtype=float32)"
"tf.Tensor([21.855724], shape=(1,), dtype=float32)"
"tf.Tensor([24.245867], shape=(1,), dtype=float32)"
"tf.Tensor([22.346657], shape=(1,), dtype=float32)"
"tf.Tensor([24.451027], shape=(1,), dtype=float32)"
"tf.Tensor([24.453465], shape=(1,), dtype=float32)"
"tf.Tensor([27.66633], shape=(1,), dtype=float32)"
"tf.Tensor([28.222094], shape=(1,), dtype=float32)"
"tf.Tensor([26.17054], shape=(1,), dtype=float32)"
"tf.Tensor([26.46322], shape=(1,), dtype=float32)"
"tf.Tensor([28.807419], shape=(1,), dtype=float32)"
"tf.Tensor([31.675837], shape=(1,), dtype=float32)"
"tf.Tensor([30.25227], shape=(1,), dtype=float32)"
"tf.Tensor([29.009586], shape=(1,), dtype=float32)"
"tf.Tensor([30.419653], shape=(1,), dtype=float32)"
"tf.Tensor([34.93943], shape=(1,), dtype=float32)"
"tf.Tensor([29.940388], shape=(1,), dtype=float32)"
"tf.Tensor([37.00344], shape=(1,), dtype=float32)"
"tf.Tensor([31.899815], shape=(1,), dtype=float32)"
"tf.Tensor([39.409115], shape=(1,), dtype=float32)"
"tf.Tensor([35.042667], shape=(1,), dtype=float32)"
"tf.Tensor([44.767933], shape=(1,), dtype=float32)"
"tf.Tensor([41.005615], shape=(1,), dtype=float32)"
"tf.Tensor([34.378468], shape=(1,), dtype=float32)"
"tf.Tensor([49.532616], shape=(1,), dtype=float32)"
"tf.Tensor([37.80165], shape=(1,), dtype=float32)"
"tf.Tensor([50.364628], shape=(1,), dtype=float32)"
"tf.Tensor([34.72395], shape=(1,), dtype=float32)"
"tf.Tensor([59.55104], shape=(1,), dtype=float32)"
"tf.Tensor([53.476227], shape=(1,), dtype=float32)"
"tf.Tensor([59.37936], shape=(1,), dtype=float32)"
"tf.Tensor([34.334908], shape=(1,), dtype=float32)"
"tf.Tensor([40.96605], shape=(1,), dtype=float32)"
"tf.Tensor([62.690434], shape=(1,), dtype=float32)"
"tf.Tensor([36.311382], shape=(1,), dtype=float32)"
"tf.Tensor([63.998627], shape=(1,), dtype=float32)"
"tf.Tensor([40.59932], shape=(1,), dtype=float32)"
"tf.Tensor([66.10893], shape=(1,), dtype=float32)"
"tf.Tensor([72.98738], shape=(1,), dtype=float32)"
"tf.Tensor([45.287735], shape=(1,), dtype=float32)"
"tf.Tensor([61.35891], shape=(1,), dtype=float32)"
"tf.Tensor([69.429794], shape=(1,), dtype=float32)"
"tf.Tensor([46.000145], shape=(1,), dtype=float32)"
"tf.Tensor([76.22455], shape=(1,), dtype=float32)"
"tf.Tensor([87.7866], shape=(1,), dtype=float32)"
"tf.Tensor([38.845947], shape=(1,), dtype=float32)"
"tf.Tensor([77.000305], shape=(1,), dtype=float32)"
"tf.Tensor([41.859715], shape=(1,), dtype=float32)"
"tf.Tensor([72.86374], shape=(1,), dtype=float32)"
"tf.Tensor([45.724266], shape=(1,), dtype=float32)"
"tf.Tensor([82.77612], shape=(1,), dtype=float32)"
"tf.Tensor([49.6529], shape=(1,), dtype=float32)"
"tf.Tensor([85.63623], shape=(1,), dtype=float32)"
"tf.Tensor([43.895348], shape=(1,), dtype=float32)"
"tf.Tensor([45.508713], shape=(1,), dtype=float32)"
"tf.Tensor([76.544304], shape=(1,), dtype=float32)"
"tf.Tensor([82.45647], shape=(1,), dtype=float32)"
"tf.Tensor([49.42076], shape=(1,), dtype=float32)"
"tf.Tensor([77.01478], shape=(1,), dtype=float32)"
"tf.Tensor([75.32692], shape=(1,), dtype=float32)"
"tf.Tensor([76.27927], shape=(1,), dtype=float32)"
"tf.Tensor([45.10306], shape=(1,), dtype=float32)"
"tf.Tensor([74.97414], shape=(1,), dtype=float32)"
"tf.Tensor([44.409428], shape=(1,), dtype=float32)"
"tf.Tensor([70.04812], shape=(1,), dtype=float32)"
"tf.Tensor([48.43017], shape=(1,), dtype=float32)"
"tf.Tensor([69.73555], shape=(1,), dtype=float32)"
"tf.Tensor([63.98275], shape=(1,), dtype=float32)"
"tf.Tensor([75.208374], shape=(1,), dtype=float32)"
"tf.Tensor([45.613407], shape=(1,), dtype=float32)"
"tf.Tensor([73.132034], shape=(1,), dtype=float32)"
"tf.Tensor([47.315323], shape=(1,), dtype=float32)"
"tf.Tensor([74.14702], shape=(1,), dtype=float32)"
"tf.Tensor([42.625107], shape=(1,), dtype=float32)"
"tf.Tensor([49.97731], shape=(1,), dtype=float32)"
"tf.Tensor([72.29682], shape=(1,), dtype=float32)"
"tf.Tensor([55.50659], shape=(1,), dtype=float32)"
"tf.Tensor([79.30176], shape=(1,), dtype=float32)"
"tf.Tensor([81.11713], shape=(1,), dtype=float32)"
"tf.Tensor([44.03102], shape=(1,), dtype=float32)"
"tf.Tensor([82.9973], shape=(1,), dtype=float32)"
"tf.Tensor([53.987812], shape=(1,), dtype=float32)"
"tf.Tensor([80.076225], shape=(1,), dtype=float32)"
"tf.Tensor([54.567875], shape=(1,), dtype=float32)"
"tf.Tensor([49.884804], shape=(1,), dtype=float32)"
"tf.Tensor([75.53806], shape=(1,), dtype=float32)"
"tf.Tensor([73.533646], shape=(1,), dtype=float32)"
"tf.Tensor([54.00132], shape=(1,), dtype=float32)"
"tf.Tensor([77.678925], shape=(1,), dtype=float32)"
"tf.Tensor([46.883057], shape=(1,), dtype=float32)"
"tf.Tensor([77.05082], shape=(1,), dtype=float32)"
"tf.Tensor([48.437664], shape=(1,), dtype=float32)"
"tf.Tensor([77.7846], shape=(1,), dtype=float32)"
"tf.Tensor([54.496838], shape=(1,), dtype=float32)"
"tf.Tensor([52.12538], shape=(1,), dtype=float32)"
"tf.Tensor([53.926548], shape=(1,), dtype=float32)"
"tf.Tensor([52.415314], shape=(1,), dtype=float32)"
"tf.Tensor([73.52286], shape=(1,), dtype=float32)"
"tf.Tensor([79.67822], shape=(1,), dtype=float32)"
"tf.Tensor([51.92453], shape=(1,), dtype=float32)"
"tf.Tensor([57.159863], shape=(1,), dtype=float32)"
"tf.Tensor([83.59264], shape=(1,), dtype=float32)"
"tf.Tensor([55.014343], shape=(1,), dtype=float32)"
"tf.Tensor([80.65421], shape=(1,), dtype=float32)"
"tf.Tensor([50.178852], shape=(1,), dtype=float32)"
"tf.Tensor([81.41199], shape=(1,), dtype=float32)"
"tf.Tensor([56.24937], shape=(1,), dtype=float32)"
"tf.Tensor([85.357155], shape=(1,), dtype=float32)"
"tf.Tensor([56.03219], shape=(1,), dtype=float32)"
"tf.Tensor([80.16094], shape=(1,), dtype=float32)"
"tf.Tensor([50.611732], shape=(1,), dtype=float32)"
"tf.Tensor([64.17679], shape=(1,), dtype=float32)"
"tf.Tensor([47.44163], shape=(1,), dtype=float32)"
"tf.Tensor([52.346718], shape=(1,), dtype=float32)"
"tf.Tensor([56.44192], shape=(1,), dtype=float32)"
"tf.Tensor([81.966606], shape=(1,), dtype=float32)"
"tf.Tensor([52.415142], shape=(1,), dtype=float32)"
"tf.Tensor([81.44468], shape=(1,), dtype=float32)"
"tf.Tensor([53.05946], shape=(1,), dtype=float32)"
"tf.Tensor([51.916653], shape=(1,), dtype=float32)"
"tf.Tensor([85.09532], shape=(1,), dtype=float32)"
"tf.Tensor([53.21544], shape=(1,), dtype=float32)"
"tf.Tensor([83.53852], shape=(1,), dtype=float32)"
"tf.Tensor([52.0458], shape=(1,), dtype=float32)"
"tf.Tensor([72.00827], shape=(1,), dtype=float32)"
"tf.Tensor([83.36668], shape=(1,), dtype=float32)"
"tf.Tensor([59.82441], shape=(1,), dtype=float32)"
"tf.Tensor([53.111153], shape=(1,), dtype=float32)"
"tf.Tensor([76.404785], shape=(1,), dtype=float32)"
"tf.Tensor([51.29771], shape=(1,), dtype=float32)"
"tf.Tensor([59.693848], shape=(1,), dtype=float32)"
"tf.Tensor([81.97969], shape=(1,), dtype=float32)"
"tf.Tensor([86.27296], shape=(1,), dtype=float32)"
"tf.Tensor([50.699825], shape=(1,), dtype=float32)"
"tf.Tensor([84.61002], shape=(1,), dtype=float32)"
"tf.Tensor([52.28287], shape=(1,), dtype=float32)"
"tf.Tensor([57.95524], shape=(1,), dtype=float32)"
"tf.Tensor([81.813614], shape=(1,), dtype=float32)"
"tf.Tensor([87.95935], shape=(1,), dtype=float32)"
"tf.Tensor([50.90498], shape=(1,), dtype=float32)"
"tf.Tensor([83.34271], shape=(1,), dtype=float32)"
"tf.Tensor([54.400616], shape=(1,), dtype=float32)"
"tf.Tensor([58.960663], shape=(1,), dtype=float32)"
"tf.Tensor([86.345], shape=(1,), dtype=float32)"
"tf.Tensor([84.82459], shape=(1,), dtype=float32)"
"tf.Tensor([53.745457], shape=(1,), dtype=float32)"
"tf.Tensor([85.2602], shape=(1,), dtype=float32)"
"tf.Tensor([52.183666], shape=(1,), dtype=float32)"
"tf.Tensor([84.39073], shape=(1,), dtype=float32)"
"tf.Tensor([52.025154], shape=(1,), dtype=float32)"
"tf.Tensor([58.394993], shape=(1,), dtype=float32)"
"tf.Tensor([81.91239], shape=(1,), dtype=float32)"
"tf.Tensor([56.320107], shape=(1,), dtype=float32)"
"tf.Tensor([84.82666], shape=(1,), dtype=float32)"
"tf.Tensor([81.34448], shape=(1,), dtype=float32)"
"tf.Tensor([53.820694], shape=(1,), dtype=float32)"
"tf.Tensor([56.149414], shape=(1,), dtype=float32)"
"tf.Tensor([80.84024], shape=(1,), dtype=float32)"
"tf.Tensor([83.911835], shape=(1,), dtype=float32)"
"tf.Tensor([60.345863], shape=(1,), dtype=float32)"
"tf.Tensor([62.637005], shape=(1,), dtype=float32)"
"tf.Tensor([80.84847], shape=(1,), dtype=float32)"
"tf.Tensor([53.05303], shape=(1,), dtype=float32)"
"tf.Tensor([83.0794], shape=(1,), dtype=float32)"
"tf.Tensor([57.32125], shape=(1,), dtype=float32)"
"tf.Tensor([81.24322], shape=(1,), dtype=float32)"
"tf.Tensor([59.153267], shape=(1,), dtype=float32)"
"tf.Tensor([81.951126], shape=(1,), dtype=float32)"
"tf.Tensor([75.809006], shape=(1,), dtype=float32)"
"tf.Tensor([56.934097], shape=(1,), dtype=float32)"
"tf.Tensor([62.855232], shape=(1,), dtype=float32)"
"tf.Tensor([83.53978], shape=(1,), dtype=float32)"
"tf.Tensor([82.23309], shape=(1,), dtype=float32)"
"tf.Tensor([58.72803], shape=(1,), dtype=float32)"
